,USA,FEMA_1,FEMA_2,FEMA_3,FEMA_4,FEMA_5,FEMA_6,FEMA_7,FEMA_8,FEMA_9,FEMA_10,g23g33g25,g36,g51,g13,g17,g48,g29,g46,g06,g16
MEDAGE_ACS,0.21133878315427795,0.2543847591002114,0.16967903268158968,0.18492121019247704,0.15694935003235816,0.24389822981995846,0.08788779839505048,0.022506307722744506,0.46761231552002885,0.284615223004416,0.08200488036434492,0.3759406044825428,0.3117414560591862,0.11346976125785344,0.2603454572238054,-0.03708526937218211,0.12547937812259927,0.1578500596985817,0.21027473939463423,0.06564410766348183,0.06634324810263871
BLACK_ACS,-0.266230922982967,0.09382829316759288,0.061908333890621746,0.18724313800622125,-0.12159775965209269,-0.06022624779799768,-0.5679065851464622,0.0595087284489568,0.33992260532976315,-0.5263810958224733,-0.23835835696929752,0.053934509872786224,0.042322090278878295,-0.10868626360038097,0.0923179945508649,0.015925212902628633,0.4375368004243451,-0.022929676984338287,0.4615934192543924,-0.3110807268791341,0.39007945840124053
QNATAM_ACS,0.4943982596365438,0.5423995913793194,0.5742773965699486,-0.23247320531019203,0.8066798787848793,0.6416584552533726,0.4483720299712722,0.5834783292304371,-0.0759033522440249,0.3986111546630399,-0.0458605143669092,0.4368961618350752,-0.5478460350881299,-0.3008952652405302,-0.5331774461074839,0.5320857786710933,-0.063273220806718,0.4424684402416176,-0.06742152347843189,-0.3030127076254382,0.2833200939614214
QASIAN_ACS,-0.08977346783272341,0.20987348266567435,-0.12295099084152376,0.07184627074262159,0.07320337786581255,0.02132439033057207,0.11968848919894486,-0.15012061762774576,0.2307877183106763,-0.0001801659429070332,-0.2418770948596624,0.12154662427310112,-0.1649275804565183,0.1985722580024262,0.21678060989133324,0.3274868102256041,0.22781419330298974,0.16107680537034264,0.5129564145560321,-0.09706466311399209,0.33394273016389986
QHISP_ACS,0.5626481351743782,0.2194322178074254,-0.11894745446801781,0.6337599063651751,0.4609771540927097,0.38907806496928293,0.3773732538997254,0.3964335625983955,0.5162579105442678,0.275314646551104,0.3342855500026132,0.3282301818174964,0.015489200147251811,0.5596910915198628,0.3692459463586612,-0.1928770242624686,-0.02675897441945193,0.4841073616816264,0.4982532816112108,0.27124089367058357,0.2529619796716294
QAGEDEP_ACS,0.7604063693911725,0.49997697125547774,0.17080812082289576,0.37886005318033,0.3750035475616032,0.6174826225226318,0.5619857613943489,0.3285924615876524,0.5118145969902904,0.3808562945034494,0.29100071133354116,0.5605226903620982,0.598080324872289,0.26885151316971706,0.1478671792425879,0.05306045968440935,0.1831041647456108,0.4353354091421754,0.13917766570923357,0.23360151570415766,0.11620081622264317
QPUNIT_ACS,0.01645709630066003,0.1687542876179053,-0.5527765851130407,0.13115044240275356,-0.4065411479734105,0.05827546871771558,-0.0173467281265237,0.13415901239368522,-0.18692627369773054,0.13643671070313246,-0.07208080330129817,0.36315836797470735,-0.3547671784278436,-0.04384760928435838,-0.36990805375917823,-0.4299439389309135,-0.37173157271768614,-0.4554672733136933,-0.14443278080591282,-0.19005758082477803,-0.19761537024775264
PRENTER_ACS,0.16755039460758744,0.06128956013146314,0.08909906353486287,-0.1295396477958979,0.30367532385288754,-0.08368626216517698,0.22703731082965609,0.06620599694316781,-0.16706983032381703,-0.0790482346177201,0.3669516995127301,-0.03226003435074999,0.16710973937877216,0.10169556757035121,-0.11408520589165401,0.19079068360635093,0.23339804602977302,0.16369114383294706,-0.040319124125234536,0.3998430213788258,0.45739454980528316
QNRRES_ACS,0.33146160080503484,0.46097975953040743,-0.16393145837802672,0.5144983751528729,0.5235402143798197,0.2195211151265751,0.28931706859458556,0.4260886703202637,-0.28961096989643126,0.8591159105426138,0.329904643423198,0.3546284345603965,0.5406838691568318,0.16125843922566632,0.4408835184905149,-0.14464487707915513,0.32971425563441925,0.2838149553763193,-0.2806934641190257,0.6606190198597633,0.16608415441226965
QFEMALE_ACS,0.7369492026838389,0.5072954653515134,-0.17618157543044893,-0.3947432922409382,-0.25507230089716243,0.8574845969697619,0.5431773309253809,0.812210218359614,0.7520068257859022,-0.020722716951500686,0.4051080418738061,0.41660278486936736,0.5274800703874588,-0.08654151341431107,-0.3363578596518715,-0.28193525900062355,-0.34954567306704887,0.6449419343748198,0.4817238076531225,-0.5559876913770134,0.05116557462959137
QFHH_ACS,0.20776047031712447,0.2616337839964758,-0.046361957887181185,0.0964251701959972,-0.010994642211010604,0.24974485256217277,0.08929035679983997,0.49983881850946243,0.008580320735433696,0.2244438295344152,0.45285601883207993,0.5571342761300675,0.2711985403521271,-0.03571381973194987,-0.07376854562817341,-0.19485247422098734,0.22086918040752637,0.21031302704319715,0.059313120097063236,-0.1471812838342208,0.504564809842365
QUNOCCHU_ACS,0.27974756680658425,-0.24166696695528495,0.5103561810513484,0.7603163072293182,0.3770247644782211,0.3149379893818234,0.13724235319517028,-0.16861253340138965,0.4541534439372519,0.449674331967582,-0.26852441650827935,-0.12542205642552476,0.14195858126920086,0.5050779564641122,0.20224805168104473,0.42155785788993533,0.28198273450039146,0.4014234650887497,0.7326453990887248,-0.4060318075756433,-0.28286552594833503
PERCAP_ALT,0.27911952814027996,0.04536348948413839,-0.07689332113925326,0.2500787580415158,0.14973948844937449,0.23528524103640688,0.37935012854086914,0.2336896051532258,0.26847779246896286,0.08438804386649777,0.1782406906343192,0.09228133990502435,0.12611820985315508,0.15143577057630922,-0.09523002700449266,0.09866754858984944,0.19136394547393415,0.18676510938687216,0.24779219190774301,-0.15315670742152815,0.19837919580252708
QESL_ALT,0.4815550405776631,0.29796081004695046,-0.12055761333621987,0.576796935711271,0.4725038467180301,0.4695636560693963,0.3245349116872069,0.39290631717195673,0.3787827635165563,0.48543014014178304,0.24251391673347547,0.36227354978740556,-0.037824444632398556,0.5856661650565473,0.497420954090376,-0.03680055488431938,-0.05973981889512378,0.4437891205217911,0.3146096506462381,0.3046830265292224,0.20874494360195872
QCVLUN,-0.15012310234707665,0.6871652296979787,0.20244322142069654,0.21345821534753473,0.16401734897666614,-0.21882776724883904,-0.10850444130901654,-0.11167696309840602,0.5234971204059155,0.2625706773378471,0.15238045992139646,0.7443583694916905,-0.16521884961453187,0.30760873274681255,0.3452628993516358,0.2501655883433718,0.4004360139751498,-0.17894792793077746,0.13275565690754895,0.4106997856986344,0.27585792221688143
